日付け,終値,,,,,
2024/7/31,149.98,,,,,
2024/7/30,152.76,,,,,
2024/7/29,154.01,,,,,
2024/7/26,153.72,,,,,
2024/7/25,153.93,,,,,
2024/7/24,153.87,,,,,
2024/7/23,155.58,,,,,
2024/7/22,157,,,,,
2024/7/19,157.49,,,,,
2024/7/18,157.37,,,,,
2024/7/17,156.16,,,,,
2024/7/16,158.34,,,,,
2024/7/15,158.01,,,,,
2024/7/12,157.89,,,,,
2024/7/11,158.8,,,,,
2024/7/10,161.67,,,,,
2024/7/9,161.31,,,,,
2024/7/8,160.81,,,,,
2024/7/5,160.72,,,,,
2024/7/4,161.25,,,,,
2024/7/3,161.68,,,,,
2024/7/2,161.44,,,,,
2024/7/1,161.45,,,,,
2024/6/28,160.83,,,,,
2024/6/27,160.74,,,,,
2024/6/26,160.79,,,,,
2024/6/25,159.69,,,,,
2024/6/24,159.59,,,,,
2024/6/21,159.79,,,,,
2024/6/20,158.9,,,,,
2024/6/19,158.08,,,,,
2024/6/18,157.85,,,,,
2024/6/17,157.71,,,,,
2024/6/14,157.37,,,,,
2024/6/13,157.02,,,,,
2024/6/12,156.71,,,,,
2024/6/11,157.07,,,,,
2024/6/10,157.02,,,,,
2024/6/7,156.7,,,,,
2024/6/6,155.6,,,,,
2024/6/5,156.1,,,,,
2024/6/4,154.87,,,,,
2024/6/3,156.1,,,,,
2024/5/31,157.31,,,,,
2024/5/30,156.81,,,,,
2024/5/29,157.6,,,,,
2024/5/28,157.16,,,,,
2024/5/27,156.86,,,,,
2024/5/24,156.99,,,,,
2024/5/23,156.93,,,,,
2024/5/22,156.77,,,,,
2024/5/21,156.15,,,,,
2024/5/20,156.24,,,,,
2024/5/17,155.65,,,,,
2024/5/16,155.38,,,,,
2024/5/15,154.87,,,,,
2024/5/14,156.42,,,,,
2024/5/13,156.2,,,,,
2024/5/10,155.72,,,,,
2024/5/9,155.46,,,,,
2024/5/8,155.48,,,,,
2024/5/7,154.69,,,,,
2024/5/6,153.88,,,,,
2024/5/3,152.98,,,,,
2024/5/2,153.63,,,,,
2024/5/1,154.47,,,,,
2024/4/30,157.8,,,,,
2024/4/29,156.33,,,,,
2024/4/26,158.33,,,,,
2024/4/25,155.65,,,,,
2024/4/24,155.34,,,,,
2024/4/23,154.82,,,,,
2024/4/22,154.84,,,,,
2024/4/19,154.63,,,,,
2024/4/18,154.63,,,,,
2024/4/17,154.38,,,,,
2024/4/16,154.71,,,,,
2024/4/15,154.27,,,,,
2024/4/12,153.28,,,,,
2024/4/11,153.27,,,,,
2024/4/10,153.17,,,,,
2024/4/9,151.77,,,,,
2024/4/8,151.79,,,,,
2024/4/5,151.61,,,,,
2024/4/4,151.33,,,,,
2024/4/3,151.68,,,,,
2024/4/2,151.55,,,,,
2024/4/1,151.63,,,,,
2024/3/29,151.31,,,,,
2024/3/28,151.37,,,,,
2024/3/27,151.32,,,,,
2024/3/26,151.55,,,,,
2024/3/25,151.41,,,,,
2024/3/22,151.42,,,,,
2024/3/21,151.61,,,,,
2024/3/20,151.25,,,,,
2024/3/19,150.85,,,,,
2024/3/18,149.14,,,,,
2024/3/15,149.02,,,,,
2024/3/14,148.32,,,,,
2024/3/13,147.74,,,,,
2024/3/12,147.68,,,,,
2024/3/11,146.94,,,,,
2024/3/8,147.07,,,,,
2024/3/7,148.03,,,,,
2024/3/6,149.37,,,,,
2024/3/5,150.04,,,,,
2024/3/4,150.51,,,,,
2024/3/1,150.11,,,,,
2024/2/29,149.98,,,,,
2024/2/28,150.67,,,,,
2024/2/27,150.5,,,,,
2024/2/26,150.69,,,,,
2024/2/23,150.5,,,,,
